github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Package.xml                                                                                   0              0            211
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\ImmutableModLinkCacheContextCategory.cs                               16              2            207
.\.github\copilot-instructions.md                                                                                                                          53              0            198
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Weather.xml                                                                                   0              0            196
.\mutagen-tmp\Mutagen.Bethesda.Core\Translations\Binary\FloatBinaryTranslation.cs                                                                          24              1            195
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\APerkEntryPointEffect.cs                                                                      3              5            195
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Bsa\BsaFileRecord.cs                                                                                          22              3            193
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\Mapping\InterfaceEnumerationHelper.cs                                                                  23              0            192
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\LoadOrderImporter.cs                                                                                  10              8            191
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\MaterialSwap.cs                                                                              22              3            190
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\IGroupMixIns.cs                                                                                             18            115            188
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Book.cs                                                                                      12              0            188
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\StringsUtility.cs                                                                                              12              0            187
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\FormID.cs                                                                                                      35            116            185
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Utility\DI\ModCompactor.cs                                                                                     26              0            184
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Terminal.cs                                                                                  22              7            184
.\MunitionAutoPatcher\obj\Debug\net8.0-windows\MunitionAutoPatcher.csproj.FileListAbsolute.txt                                                              0              0            183
.\MunitionAutoPatcher\obj\Release\net8.0-windows\MunitionAutoPatcher.csproj.FileListAbsolute.txt                                                            0              0            183
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\OverrideMixIns.cs                                                                                           19            228            183
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Allocators\TextFileSharedFormKeyAllocator.cs                                                                   20              5            183
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\MagicEffect.cs                                                                               14              3            183
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PackageIdles.cs                                                                              12              2            182
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\SubrecordHeader.cs                                                                              72            198            180
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\DI\MutagenEncodingProvider.cs                                                                                  12              0            176
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\FormLinkOrIndex.cs                                                                                             36              0            175
.\MunitionAutoPatcher\Services\Implementations\WeaponDataExtractor.cs                                                                                      18              4            174
.\tests\LinkCacheHelperTests\obj\LinkCacheHelperTests.csproj.nuget.dgspec.json                                                                              0              0            173
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Ba2\DDS.cs                                                                                                    27             18            170
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\HeaderConstructionMixIns.cs                                                                     34              0            170
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Implicit\Implicits.cs                                                                                          15             11            170
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Weapon.cs                                                                                     9              0            170
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\BinaryStringUtility.cs                                                                     15             62            167
.\tests\AutoTests\obj\Debug\net8.0-windows\AutoTests.csproj.FileListAbsolute.txt                                                                            0              0            165
.\tests\WeaponDataExtractorTests\obj\Release\net8.0-windows\WeaponDataExtractor.Tests.csproj.FileListAbsolute.txt                                           0              0            165
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\SceneAction.cs                                                                               11              1            162
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\ImmutableModLinkCacheSimpleContextCategory.cs                         13              2            161
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Scene.xml                                                                                     0              0            161
.\tests\AutoTests\obj\AutoTests.csproj.nuget.dgspec.json                                                                                                    0              0            161
.\tests\WeaponDataExtractorTests\obj\WeaponDataExtractor.Tests.csproj.nuget.dgspec.json                                                                     0              0            161
